"LAND";"AGR";"MIN";"MAN";"PS";"CON";"SER";"FIN";"SPS";"TC";"RM";"WM";"EGG";"MLK";"FSH";"CRL";"SCH";"PNO";"F&V"
"BRITTEN";2,7;1,4;30,2;1,4;6,9;16,9;5,7;28,3;6,4;17,4;5,7;4,7;20,6;4,3;24,3;4,7;3,4;3,3
"BULGARIEN";23,6;1,9;32,3;0,6;7,9;8;0,7;18,2;6,7;7,8;6;1,6;8,3;1,2;56,7;1,1;3,7;4,2
"FINLAND";13;0,4;25,9;1,3;7,4;14,7;5,5;24,3;7,6;9,5;4,9;2,7;33,7;5,8;26,3;5,1;1;1,4
"GREKLAND";41,4;0,6;17,6;0,6;8,1;11,5;2,4;11;6,7;10,2;3;2,8;17,6;5,9;41,7;2,2;7,8;6,5
"HOLLAND";6,3;0,1;22,5;1;9,9;18;6,8;28,5;6,8;9,5;13,6;3,6;23,4;2,5;22,4;4,2;1,8;3,7
"IRLAND";23,2;1;20,7;1,3;7,5;16,8;2,8;20,8;6,1;13,9;10;4,7;25,8;2,2;24;6,2;1,6;2,9
"ITALIEN";15,9;0,6;27,6;0,5;10;18,1;1,6;20,1;5,7;9;5,1;2,9;13,7;3,4;36,8;2,1;4,3;6,7
"JUGOSLAVIEN";48,7;1,5;16,8;1,1;4,9;6,4;11,3;5,3;4;4,4;5;1,2;9,5;0,6;55,9;3;5,7;3,2
"NORGE";9;0,5;22,4;0,8;8,6;16,9;4,7;27,6;9,4;9,4;4,7;2,7;23,3;9,7;23;4,6;1,6;2,7
"POLEN";31,1;2,5;25,7;0,9;8,4;7,5;0,9;16,1;6,9;6,9;10,2;2,7;19,3;3;36,1;5,9;2;6,6
"RUMÄNIEN";34,7;2,1;30,1;0,6;8,7;5,9;1,3;11,7;5;6,2;6,3;1,5;11,1;1;49,6;3,1;5,3;2,8
"SCHWEIZ";7,7;0,2;37,8;0,8;9,5;17,5;5,3;15,4;5,7;13,1;10,1;3,1;23,8;2,3;25,6;2,8;2,4;4,9
"SOVJET";23,7;1,4;25,8;0,6;9,2;6,1;0,5;23,6;9,3;9,3;4,6;2,1;16,6;3;43,6;6,4;3,4;2,9
"TJECKOSLOVAKIEN";16,5;2,9;35,5;1,2;8,7;9,2;0,9;17,9;7;9,7;11,4;2,8;12,5;2;34,3;5;1,1;4
"UNGERN";21,7;3,1;29,6;1,9;8,2;9,4;0,9;17,2;8;5,3;12,4;2,9;9,7;0,3;40,1;4;5,4;4,2
"VTYSKLAND";6,7;1,3;35,8;0,9;7,3;14,4;5;22,3;6,1;11,4;12,5;4,1;18,8;3,4;18,6;5,2;1,5;3,8
"ÖSTERRIKE";12,7;1,1;30,2;1,4;9;16,8;4,9;16,8;7;8,9;14;4,3;19,9;2,1;28;3,6;1,3;4,3
"ÖTYSKLAND";4,2;2,9;41,2;1,3;7,6;11,2;1,2;22,1;8,4;8,4;11,6;3,7;11,1;5,4;24,6;6,5;0,8;3,6
