"ID","item"
"46706040201","rice"
"46706040201","fish"
"46706040201","tea"
"46706040201","red meat"
"46706040201","yoghurt"
"46706040201","beer"
"46706040201","milk"
"46706040202","milk"
"46706040202","tea"
"46706040202","rice"
"46706040202","fish"
"46706040202","water"
"46706040202","potatoes"
"46706040203","soda"
"46706040203","chicken"
"46706040203","milk"
"46706040204","coffee"
"46706040204","milk"
"46706040204","water"
"46706040204","soda"
"46706040204","rice"
"46706040204","chicken"
"46706040204","butter"
"46706040205","fish"
"46706040205","potatoes"
"46706040205","yoghurt"
"46706040205","water"
"46706040205","pasta"
"46706040206","water"
"46706040206","milk"
"46706040206","beer"
"46706040206","butter"
"46706040207","soda"
"46706040207","ice cream"
"46706040207","pasta"
"46706040207","milk"
"46706040207","butter"
"46706040207","potatoes"
"46706040208","milk"
"46706040208","rice"
"46706040208","water"
"46706040208","red meat"
"46706040208","coffee"
"46706040208","chicken"
"46706040208","soda"
"46706040209","coffee"
"46706040209","red meat"
"46706040209","beer"
"46706040209","pasta"
"46706040209","milk"
"46706040209","butter"
"46706040209","ice cream"
"46706040210","rice"
"46706040210","milk"
"46706040210","soda"
"46706040210","coffee"
"46706040210","pasta"
"46706040210","red meat"
"46706040211","milk"
"46706040211","fish"
"46706040211","rice"
"46706040212","juice"
"46706040212","water"
"46706040212","milk"
"46706040212","yoghurt"
"46706040212","fish"
"46706040212","minced meat"
"46706040212","coffee"
"46706040213","water"
"46706040213","fish"
"46706040213","coffee"
"46706040213","rice"
"46706040213","pasta"
"46706040213","milk"
"46706040213","tea"
"46706040213","potatoes"
"46706040214","potatoes"
"46706040214","chicken"
"46706040214","butter"
"46706040215","red meat"
"46706040215","fish"
"46706040215","coffee"
"46706040215","ice cream"
"46706040215","pasta"
"46706040215","water"
"46706040215","milk"
"46706040215","chicken"
"46706040216","water"
"46706040216","ice cream"
"46706040216","milk"
"46706040216","coffee"
"46706040216","pasta"
"46706040216","chicken"
"46706040217","milk"
"46706040217","coffee"
"46706040217","butter"
"46706040218","milk"
"46706040218","rice"
"46706040218","potatoes"
"46706040218","fish"
"46706040218","butter"
"46706040218","ice cream"
"46706040218","chicken"
"46706040219","chicken"
"46706040219","water"
"46706040219","ice cream"
"46706040219","potatoes"
"46706040220","rice"
"46706040220","tea"
"46706040220","red meat"
"46706040220","minced meat"
"46706040220","fish"
"46706040220","coffee"
"46706040220","pasta"
"46706040221","minced meat"
"46706040221","coffee"
"46706040221","chicken"
"46706040221","soda"
"46706040221","beer"
"46706040221","butter"
"46706040221","yoghurt"
"46706040221","rice"
"46706040222","coffee"
"46706040222","butter"
"46706040222","chicken"
"46706040222","pasta"
"46706040222","water"
"46706040223","tea"
"46706040223","ice cream"
"46706040223","coffee"
"46706040223","milk"
"46706040223","chicken"
"46706040223","red meat"
"46706040223","butter"
"46706040223","rice"
"46706040223","pasta"
"46706040224","butter"
"46706040224","water"
"46706040224","potatoes"
"46706040224","milk"
"46706040224","beer"
"46706040224","pasta"
"46706040224","red meat"
"46706040224","ice cream"
"46706040225","beer"
"46706040225","red meat"
"46706040225","soda"
"46706040225","butter"
"46706040225","chicken"
"46706040225","water"
"46706040225","coffee"
"46706040225","potatoes"
"46706040225","yoghurt"
"46706040225","milk"
"46706040226","coffee"
"46706040226","chicken"
"46706040226","rice"
"46706040226","ice cream"
"46706040227","rice"
"46706040227","butter"
"46706040227","ice cream"
"46706040227","soda"
"46706040227","milk"
"46706040227","yoghurt"
"46706040228","water"
"46706040228","butter"
"46706040228","ice cream"
"46706040228","chicken"
"46706040228","fish"
"46706040228","milk"
"46706040229","water"
"46706040229","coffee"
"46706040229","chicken"
"46706040229","soda"
"46706040229","minced meat"
"46706040229","butter"
"46706040229","potatoes"
"46706040230","milk"
"46706040230","pasta"
"46706040230","coffee"
"46706040230","water"
"46706040230","butter"
"46706040231","red meat"
"46706040231","rice"
"46706040231","coffee"
"46706040231","water"
"46706040231","soda"
"46706040232","coffee"
"46706040232","milk"
"46706040232","water"
"46706040232","butter"
"46706040233","potatoes"
"46706040233","coffee"
"46706040233","beer"
"46706040233","chicken"
"46706040233","milk"
"46706040233","ice cream"
"46706040233","red meat"
"46706040233","tea"
"46706040233","yoghurt"
"46706040234","tea"
"46706040234","butter"
"46706040234","pasta"
"46706040234","fish"
"46706040235","butter"
"46706040235","soda"
"46706040235","milk"
"46706040236","butter"
"46706040236","water"
"46706040236","milk"
"46706040237","milk"
"46706040237","beer"
"46706040237","chicken"
"46706040237","pasta"
"46706040237","juice"
"46706040237","fish"
"46706040237","soda"
"46706040237","butter"
"46706040237","yoghurt"
"46706040238","milk"
"46706040238","rice"
"46706040238","butter"
"46706040238","chicken"
"46706040239","tea"
"46706040239","butter"
"46706040239","yoghurt"
"46706040239","juice"
"46706040239","fish"
"46706040239","potatoes"
"46706040239","milk"
"46706040240","milk"
"46706040240","pasta"
"46706040240","rice"
"46706040240","juice"
"46706040240","yoghurt"
"46706040241","water"
"46706040241","minced meat"
"46706040241","rice"
"46706040241","butter"
"46706040242","rice"
"46706040242","beer"
"46706040242","milk"
"46706040242","water"
"46706040242","butter"
"46706040242","red meat"
"46706040242","tea"
"46706040242","coffee"
"46706040242","pasta"
"46706040243","minced meat"
"46706040243","ice cream"
"46706040243","milk"
"46706040243","fish"
"46706040243","potatoes"
"46706040243","chicken"
"46706040243","coffee"
"46706040243","water"
"46706040244","chicken"
"46706040244","milk"
"46706040244","fish"
"46706040244","pasta"
"46706040244","butter"
"46706040244","red meat"
"46706040244","coffee"
"46706040244","water"
"46706040244","potatoes"
"46706040245","milk"
"46706040245","butter"
"46706040245","coffee"
"46706040245","water"
"46706040245","chicken"
"46706040245","minced meat"
"46706040245","rice"
"46706040245","red meat"
"46706040246","water"
"46706040246","pasta"
"46706040246","butter"
"46706040246","rice"
"46706040246","ice cream"
"46706040246","soda"
"46706040246","coffee"
"46706040246","milk"
"46706040247","red meat"
"46706040247","chicken"
"46706040247","tea"
"46706040247","fish"
"46706040247","milk"
"46706040247","rice"
"46706040247","soda"
"46706040247","pasta"
"46706040248","rice"
"46706040248","chicken"
"46706040248","potatoes"
"46706040248","milk"
"46706040249","chicken"
"46706040249","water"
"46706040249","butter"
"46706040249","tea"
"46706040249","milk"
"46706040249","soda"
"46706040249","pasta"
"46706040249","yoghurt"
"46706040250","butter"
"46706040250","pasta"
"46706040250","juice"
"46706040250","coffee"
"46706040250","yoghurt"
"46706040251","coffee"
"46706040251","red meat"
"46706040251","rice"
"46706040251","chicken"
"46706040251","milk"
"46706040251","ice cream"
"46706040252","fish"
"46706040252","tea"
"46706040252","milk"
"46706040252","red meat"
"46706040252","coffee"
"46706040252","rice"
"46706040252","soda"
"46706040252","juice"
"46706040253","milk"
"46706040253","red meat"
"46706040254","fish"
"46706040254","pasta"
"46706040254","coffee"
"46706040254","water"
"46706040254","red meat"
"46706040254","tea"
"46706040254","milk"
"46706040254","minced meat"
"46706040254","potatoes"
"46706040254","rice"
"46706040255","coffee"
"46706040255","pasta"
"46706040255","chicken"
"46706040255","yoghurt"
"46706040256","fish"
"46706040256","rice"
"46706040256","milk"
"46706040256","minced meat"
"46706040256","pasta"
"46706040256","chicken"
"46706040256","tea"
"46706040256","beer"
"46706040257","coffee"
"46706040257","butter"
"46706040257","milk"
"46706040257","red meat"
"46706040257","rice"
"46706040257","yoghurt"
"46706040258","water"
"46706040258","chicken"
"46706040258","fish"
"46706040258","yoghurt"
"46706040258","beer"
"46706040258","milk"
"46706040259","chicken"
"46706040259","ice cream"
"46706040259","milk"
"46706040260","milk"
"46706040260","pasta"
"46706040260","butter"
"46706040260","minced meat"
"46706040260","fish"
"46706040260","potatoes"
"46706040260","juice"
"46706040260","rice"
"46706040261","fish"
"46706040261","butter"
"46706040261","red meat"
"46706040261","rice"
"46706040262","chicken"
"46706040262","soda"
"46706040262","fish"
"46706040262","tea"
"46706040262","butter"
"46706040262","coffee"
"46706040262","juice"
"46706040263","milk"
"46706040263","yoghurt"
"46706040263","fish"
"46706040263","potatoes"
"46706040263","pasta"
"46706040263","ice cream"
"46706040263","beer"
"46706040263","chicken"
"46706040264","pasta"
"46706040264","milk"
"46706040264","minced meat"
"46706040264","water"
"46706040264","coffee"
"46706040264","soda"
"46706040264","butter"
"46706040264","fish"
"46706040264","ice cream"
"46706040265","coffee"
"46706040265","pasta"
"46706040265","butter"
"46706040265","milk"
"46706040265","soda"
"46706040265","water"
"46706040265","red meat"
"46706040266","pasta"
"46706040266","juice"
"46706040266","coffee"
"46706040266","milk"
"46706040266","chicken"
"46706040266","rice"
"46706040267","pasta"
"46706040267","milk"
"46706040267","fish"
"46706040267","red meat"
"46706040268","butter"
"46706040268","water"
"46706040268","pasta"
"46706040268","ice cream"
"46706040268","fish"
"46706040268","chicken"
"46706040269","chicken"
"46706040269","red meat"
"46706040269","milk"
"46706040269","fish"
"46706040269","coffee"
"46706040269","butter"
"46706040270","milk"
"46706040270","coffee"
"46706040270","fish"
"46706040270","ice cream"
"46706040270","water"
"46706040270","juice"
"46706040270","chicken"
"46706040271","water"
"46706040271","red meat"
"46706040271","potatoes"
"46706040271","milk"
"46706040271","coffee"
"46706040271","minced meat"
"46706040272","potatoes"
"46706040272","fish"
"46706040272","water"
"46706040272","ice cream"
"46706040272","coffee"
"46706040272","butter"
"46706040272","pasta"
"46706040273","milk"
"46706040273","rice"
"46706040273","minced meat"
