"ID","item"
"5T1MV5J3","rice"
"KB1LEWEN","rice"
"TE45QSRN","rice"
"WERGL7FB","rice"
"6DSEEKZK","rice"
"HUYZ7T57","rice"
"VPHFQKMK","rice"
"ZN9DA5JG","rice"
"QKZ57RTR","rice"
"5MRNSW2Q","rice"
"MSALFE2P","rice"
"KVW9UT4V","rice"
"8VEXHDBJ","rice"
"FP0KBVLO","rice"
"HHYLL6UK","rice"
"NLI06W6R","rice"
"23XDA5UK","rice"
"JVD3RHVB","rice"
"4QJTZL20","rice"
"SBFHDWTU","rice"
"PCB5JD5X","rice"
"BGTIGX5N","rice"
"6IT1UELD","rice"
"AUV80JZL","rice"
"8WS97UJM","rice"
"A19FF3TE","rice"
"0PHASY1K","rice"
"162BWXFZ","rice"
"70K6W5JI","rice"
"VRC6DXA6","rice"
"EELNCBF0","rice"
"M75EU469","rice"
"A0BQ5X7L","rice"
"09X82PXS","rice"
"YKGGLAVW","rice"
"5A4WIH5S","rice"
"IG56UBOV","rice"
"9J784EXP","rice"
"U4BWUW6G","rice"
"4BQU7YXI","rice"
"ZRSZZ1WA","rice"
"3DCGWUYP","rice"
"OZ9N30JF","rice"
"W9IO2DAS","rice"
"MGNLL4K9","rice"
"JA05W6KG","rice"
"NUG7TL3V","rice"
"1RGZWCCF","rice"
"YMN8K1L7","rice"
"OQ9ABHJM","rice"
"F3EK03EW","rice"
"P48NJYO6","rice"
"V0CI9133","rice"
"XR8VK3GZ","rice"
"7IQ577GW","rice"
"YPFAZ3QH","rice"
"ZVF1B11K","rice"
"4XZT7ZNU","rice"
"FVEG6413","rice"
"1WK8V9R1","rice"
"DGACD9MR","rice"
"8K0MK2NN","rice"
"1A5EM94W","rice"
"IEW0DLNM","rice"
"IPYXU7XR","rice"
"ZEF1Q5DJ","rice"
"9WLIN7MC","rice"
"2E4OZCKK","rice"
"4SRSRE75","rice"
"PUMIAAYE","rice"
"5JP8RB0S","rice"
"KMM67CAO","rice"
"3GXVANFG","rice"
"M8PU8VUB","rice"
"FFTVEVYF","rice"
"LOYK4J2K","rice"
"0LFPVEF4","rice"
"Z8HS1THH","rice"
"V56RB843","rice"
"7S3Z5AUR","rice"
"BA26YLDA","rice"
"9Z18REHT","rice"
"HPZ3MTN8","rice"
"DD9A2DIM","rice"
"MECHASQ2","rice"
"T4JOH78R","rice"
"YYP7PESH","rice"
"5XPNZ5OJ","rice"
"S9V8YAXI","rice"
"A2Z6N1V6","rice"
"0WDX1G21","rice"
"PXIOUYD3","rice"
"XNU3MC0K","rice"
"BCOI8IRF","rice"
"D4LTLJZT","rice"
"3XIVG0RI","rice"
"R9R3B30K","rice"
"3ZT0RJDT","rice"
"WIXS9PF3","rice"
"3ITIKIDD","rice"
"QIKWBGWI","rice"
"JFOYYN7M","rice"
"SPO5H60Y","rice"
"6U3N0PPF","rice"
"4NA6P3TM","rice"
"LRO1M10I","rice"
"JETAM8WA","rice"
"EOLK3DB0","rice"
"UM74IJ8Y","rice"
"65XZ71AL","rice"
"ZYEGRVF6","rice"
"IXGMWFKT","rice"
"4FTLL3D3","rice"
"XIJIKS5R","rice"
"1JJGAXCU","rice"
"UUO5MXSO","rice"
"JURU8LTA","rice"
"3D0T5SII","rice"
"D4R2QLQ8","rice"
"TXIMSCRD","rice"
"ZXL79I9M","rice"
"G2MKFKEK","rice"
"3SS712GO","rice"
"7YT5D4Z7","rice"
"HYIP6S0J","rice"
"TW2UAO7M","rice"
"CUG5U1BJ","rice"
"ZPWOTAV7","rice"
"0SC9A20N","rice"
"7FN4SP92","rice"
"BHXR52E4","rice"
"7RFARYOW","rice"
"2NA3R0NX","rice"
"KHYBSRMR","rice"
"6RAXAMQC","rice"
"Q1101TO0","rice"
"JP3J5RE6","rice"
"3IJ1CYC2","rice"
"2YWRVMVM","rice"
"KW1AQ8RQ","rice"
"9YJGKKHG","rice"
"6QR1CXKD","rice"
"E4DO45M1","rice"
"AW9EZFE7","rice"
"BUBS9XKH","rice"
"TY4DPXLA","rice"
"DOA8URPS","rice"
"2KFL844X","rice"
"J1XS0DD2","rice"
"OZQLVFO8","rice"
"LGKRTDMQ","rice"
"MASFRL4M","rice"
"DP4Q2BL0","rice"
"M2MJLZGP","rice"
"GJKWAHXI","rice"
"Q17VTUI5","rice"
"K3T6WU5R","rice"
"QBGVI7KP","rice"
"WSPAR8WR","rice"
"SAHYUUWD","rice"
"04TIF50K","rice"
"5DUQQ4RA","rice"
"05TBYGSB","rice"
"Y12DML0V","rice"
"572L27VE","rice"
"F6HFA4AX","rice"
"5UA7MPJT","rice"
"KNACI3UT","rice"
"4YCHI524","rice"
"6IMST2QK","rice"
"930QJQ4F","rice"
"FFBQTOGT","rice"
"NIWGNK45","rice"
"4NH6R8MT","rice"
"YOCW2D6F","rice"
"VDFVIIXU","rice"
"QVB4BP3M","rice"
"1J8BEX7Y","rice"
"VYGIZQJG","rice"
"MVFYYKH1","rice"
"IGPLWKN2","rice"
"7JBIDSS9","rice"
"MHRC84KC","rice"
"8PH5FINH","rice"
"YIA72CXP","rice"
"99BSMVFW","rice"
"SLOBMNEE","rice"
"8T8PPR77","rice"
"M51OCQEW","rice"
"YU7TI0E8","rice"
"EE1AL8R4","rice"
"OV9K0IU2","rice"
"ED3315ZR","rice"
"5I23WJNE","rice"
"GRW2MNJC","rice"
"ST5CGD8X","rice"
"VWG9RJ7V","rice"
"8QUA7AQE","rice"
"EYA768RV","rice"
"TXC7NGAL","rice"
"OH421PQ7","rice"
"H8DFUUN3","rice"
"ISED0DH6","rice"
"5SH1PWV1","rice"
"MVHXLGM7","rice"
"TYKOWHYG","rice"
"L06G7N7Y","rice"
"SJ923NZM","rice"
"ZN2MP5U2","rice"
"4GYFJ83M","rice"
"3HKIKVZ3","rice"
"ZZTTJYIH","rice"
"Z8IU1NY4","rice"
"9AA15DZQ","rice"
"UFLUCRJH","rice"
"I76K23RE","rice"
"M19H7GC7","rice"
"P8XLW9PV","rice"
"P5IXD0B5","rice"
"LEV2I6M8","rice"
"FERXPY2S","rice"
"L061IRGY","rice"
"N88OOIG0","rice"
"ILKCIEN6","rice"
"ZCYK6LMH","rice"
"WCA3VYCS","rice"
"H532XARW","rice"
"UVTSJRTA","rice"
"Q9VJAW02","rice"
"JAHS8C4B","rice"
"I762DV1T","rice"
"YYTDQXG2","rice"
"VPT73B4D","rice"
"T7HO1FA3","rice"
"2UOF29EJ","rice"
"CXMFP7RI","rice"
"86XEFB70","rice"
"6BMS5GH2","rice"
"I3Z63USC","rice"
"0W1T6WD2","rice"
"AZCXDSK5","rice"
"BDM7LRE6","rice"
"US9DXYXE","rice"
"J5S88LB5","rice"
"SWMQS3WJ","rice"
"LE1D6SOS","rice"
"W11Q7ATU","rice"
"DQQFDQZC","rice"
"J7X6FNLY","rice"
"I9LQVKLN","rice"
"MZ4UEX40","rice"
"STZOZRB4","rice"
"CGDPKHOQ","rice"
"ZDCG3ULI","rice"
"JQU5LAFN","rice"
"INZ2YS80","rice"
"GK0IZBU3","rice"
"EFV9DU2T","rice"
"Y62SCY14","rice"
"6JVLRAWT","rice"
